iter	Passed	Remaining
1559	5775	179342
1560	5779	179339
1561	5783	179341
1562	5787	179348
1563	5791	179343
1564	5794	179333
1565	5797	179314
1566	5801	179298
1567	5804	179289
1568	5808	179279
1569	5811	179257
1570	5814	179253
1571	5818	179247
1572	5822	179245
1573	5825	179243
1574	5829	179226
1575	5832	179213
1576	5836	179201
1577	5839	179191
1578	5842	179178
1579	5846	179164
1580	5849	179150
1581	5852	179127
1582	5856	179114
1583	5859	179106
1584	5863	179097
1585	5866	179087
1586	5870	179071
1587	5873	179058
1588	5876	179044
1589	5880	179031
1590	5883	179018
1591	5886	179003
1592	5890	178998
1593	5893	178983
1594	5897	178978
1595	5901	178973
1596	5904	178968
1597	5908	178963
1598	5912	178971
1599	5916	178965
1600	5919	178958
1601	5922	178938
1602	5926	178922
1603	5929	178909
1604	5933	178905
1605	5936	178889
1606	5939	178873
1607	5943	178862
1608	5946	178851
1609	5950	178835
1610	5953	178826
1611	5957	178822
1612	5960	178809
1613	5964	178795
1614	5967	178783
1615	5971	178784
1616	5974	178776
1617	5978	178773
1618	5981	178760
1619	5985	178744
1620	5988	178733
1621	5992	178732
1622	5995	178720
1623	5999	178723
1624	6003	178720
1625	6007	178713
1626	6010	178700
1627	6014	178693
1628	6017	178691
1629	6021	178682
1630	6024	178658
1631	6027	178643
1632	6030	178628
1633	6034	178608
1634	6037	178607
1635	6041	178591
1636	6044	178577
1637	6047	178559
1638	6051	178556
1639	6055	178556
1640	6058	178544
1641	6061	178528
1642	6065	178510
1643	6068	178497
1644	6071	178478
1645	6075	178463
1646	6078	178450
1647	6081	178441
1648	6085	178426
1649	6088	178409
1650	6091	178401
1651	6095	178388
1652	6098	178383
1653	6102	178377
1654	6106	178369
1655	6110	178378
1656	6113	178370
1657	6117	178367
1658	6121	178363
1659	6124	178362
1660	6128	178356
1661	6132	178354
1662	6136	178351
1663	6139	178347
1664	6143	178342
1665	6147	178338
1666	6150	178339
1667	6154	178333
1668	6158	178329
1669	6161	178322
1670	6165	178314
1671	6168	178308
1672	6172	178300
1673	6176	178304
1674	6179	178292
1675	6183	178285
1676	6187	178288
1677	6191	178287
1678	6194	178276
1679	6198	178272
1680	6201	178269
1681	6205	178261
1682	6208	178252
1683	6212	178249
